user_id,product_id,product_name,category,rating,review_text,description,timestamp
38,14,Product 14 - Electronics,Electronics,5,Product 14 is okay.,"This is a great electronics product with features X, Y, Z.",2025-12-17 20:33:26.904292
74,30,Product 30 - Books,Books,3,Product 30 is good.,"This is a great books product with features X, Y, Z.",2025-03-11 20:33:26.904292
85,2,Product 2 - Electronics,Electronics,3,Product 2 is good.,"This is a great electronics product with features X, Y, Z.",2025-07-02 20:33:26.904292
30,50,Product 50 - Beauty,Beauty,5,Product 50 is okay.,"This is a great beauty product with features X, Y, Z.",2025-08-17 20:33:26.904292
59,36,Product 36 - Electronics,Electronics,5,Product 36 is bad.,"This is a great electronics product with features X, Y, Z.",2025-08-09 20:33:26.904292
48,36,Product 36 - Electronics,Electronics,4,Product 36 is okay.,"This is a great electronics product with features X, Y, Z.",2026-01-13 20:33:26.904292
90,9,Product 9 - Electronics,Electronics,5,Product 9 is good.,"This is a great electronics product with features X, Y, Z.",2026-01-01 20:33:26.904292
78,5,Product 5 - Clothing,Clothing,5,Product 5 is bad.,"This is a great clothing product with features X, Y, Z.",2025-11-04 20:33:26.904292
21,35,Product 35 - Home,Home,4,Product 35 is horrible.,"This is a great home product with features X, Y, Z.",2025-06-22 20:33:26.904292
29,45,Product 45 - Books,Books,5,Product 45 is bad.,"This is a great books product with features X, Y, Z.",2025-03-04 20:33:26.904292
5,22,Product 22 - Beauty,Beauty,5,Product 22 is okay.,"This is a great beauty product with features X, Y, Z.",2025-08-28 20:33:26.904292
9,42,Product 42 - Beauty,Beauty,3,Product 42 is okay.,"This is a great beauty product with features X, Y, Z.",2025-11-21 20:33:26.904292
28,48,Product 48 - Books,Books,5,Product 48 is excellent.,"This is a great books product with features X, Y, Z.",2025-08-25 20:33:26.904292
19,34,Product 34 - Clothing,Clothing,4,Product 34 is horrible.,"This is a great clothing product with features X, Y, Z.",2025-06-10 20:33:26.904292
69,16,Product 16 - Clothing,Clothing,4,Product 16 is excellent.,"This is a great clothing product with features X, Y, Z.",2025-11-30 20:33:26.904292
75,24,Product 24 - Clothing,Clothing,4,Product 24 is bad.,"This is a great clothing product with features X, Y, Z.",2025-05-27 20:33:26.904292
66,26,Product 26 - Beauty,Beauty,4,Product 26 is good.,"This is a great beauty product with features X, Y, Z.",2025-02-28 20:33:26.904292
20,33,Product 33 - Clothing,Clothing,5,Product 33 is excellent.,"This is a great clothing product with features X, Y, Z.",2026-01-18 20:33:26.904292
77,11,Product 11 - Books,Books,2,Product 11 is horrible.,"This is a great books product with features X, Y, Z.",2025-08-18 20:33:26.904292
60,7,Product 7 - Electronics,Electronics,4,Product 7 is good.,"This is a great electronics product with features X, Y, Z.",2025-11-14 20:33:26.904292
88,18,Product 18 - Beauty,Beauty,5,Product 18 is horrible.,"This is a great beauty product with features X, Y, Z.",2026-01-19 20:33:26.904292
97,22,Product 22 - Beauty,Beauty,4,Product 22 is okay.,"This is a great beauty product with features X, Y, Z.",2025-12-29 20:33:26.904292
15,23,Product 23 - Books,Books,4,Product 23 is excellent.,"This is a great books product with features X, Y, Z.",2025-04-25 20:33:26.904292
1,13,Product 13 - Electronics,Electronics,5,Product 13 is horrible.,"This is a great electronics product with features X, Y, Z.",2025-06-18 20:33:26.904292
98,39,Product 39 - Electronics,Electronics,3,Product 39 is okay.,"This is a great electronics product with features X, Y, Z.",2025-03-30 20:33:26.904292
82,21,Product 21 - Clothing,Clothing,4,Product 21 is bad.,"This is a great clothing product with features X, Y, Z.",2025-05-16 20:33:26.904292
48,39,Product 39 - Electronics,Electronics,5,Product 39 is horrible.,"This is a great electronics product with features X, Y, Z.",2025-11-07 20:33:26.904292
1,20,Product 20 - Beauty,Beauty,4,Product 20 is good.,"This is a great beauty product with features X, Y, Z.",2025-10-12 20:33:26.904292
15,13,Product 13 - Electronics,Electronics,5,Product 13 is bad.,"This is a great electronics product with features X, Y, Z.",2025-07-11 20:33:26.904292
8,28,Product 28 - Electronics,Electronics,3,Product 28 is good.,"This is a great electronics product with features X, Y, Z.",2025-11-21 20:33:26.904292
11,19,Product 19 - Electronics,Electronics,5,Product 19 is horrible.,"This is a great electronics product with features X, Y, Z.",2025-03-11 20:33:26.904292
99,28,Product 28 - Electronics,Electronics,3,Product 28 is excellent.,"This is a great electronics product with features X, Y, Z.",2026-01-07 20:33:26.904292
71,21,Product 21 - Clothing,Clothing,3,Product 21 is horrible.,"This is a great clothing product with features X, Y, Z.",2025-11-01 20:33:26.904292
55,37,Product 37 - Electronics,Electronics,5,Product 37 is bad.,"This is a great electronics product with features X, Y, Z.",2025-11-07 20:33:26.904292
92,47,Product 47 - Electronics,Electronics,4,Product 47 is okay.,"This is a great electronics product with features X, Y, Z.",2026-01-13 20:33:26.904292
57,49,Product 49 - Electronics,Electronics,5,Product 49 is good.,"This is a great electronics product with features X, Y, Z.",2025-09-23 20:33:26.904292
32,30,Product 30 - Books,Books,3,Product 30 is good.,"This is a great books product with features X, Y, Z.",2025-07-27 20:33:26.904292
76,41,Product 41 - Home,Home,4,Product 41 is bad.,"This is a great home product with features X, Y, Z.",2025-12-02 20:33:26.904292
1,1,Product 1 - Electronics,Electronics,2,Product 1 is good.,"This is a great electronics product with features X, Y, Z.",2025-12-24 20:33:26.904292
30,11,Product 11 - Books,Books,2,Product 11 is okay.,"This is a great books product with features X, Y, Z.",2025-02-20 20:33:26.904292
10,44,Product 44 - Electronics,Electronics,4,Product 44 is excellent.,"This is a great electronics product with features X, Y, Z.",2025-06-26 20:33:26.904292
28,25,Product 25 - Books,Books,4,Product 25 is horrible.,"This is a great books product with features X, Y, Z.",2025-11-23 20:33:26.904292
61,11,Product 11 - Books,Books,3,Product 11 is excellent.,"This is a great books product with features X, Y, Z.",2025-10-04 20:33:26.904292
